61;My Company (San Francisco);;2020-12-19 12:46:51.059572;My Company (San Francisco);;;;;es_ES;;;B8787079706;https://www.ccsolucionesinformaticas.es;;;True;;;contact;Av. de la industria S/N;;19200;Azuqueca de henares;438;68;;;tony20030@yahoo.es;675123456;;True;;0;True;1;My Company (San Francisco);YourCompany;;1;2021-03-17 00:04:30.221539;;tony20030@yahoo.es;0;;;;;;;675123456;;;no-message;;0;0;no-message;;no-message;;no-message;
62;OdooBot;1;2020-12-19 12:46:52.262824;OdooBot;;;;;es_ES;Europe/Brussels;;;;;;False;;;contact;;;;;;;;;odoobot@example.com;;;False;;0;False;2;;;1;1;2021-03-17 00:04:30.221539;;odoobot@example.com;0;;;;;;;;;;no-message;;0;0;no-message;;no-message;;no-message;
63;Marcos Antonio Vaquero Diaz;1;2020-12-19 12:46:52.262824;YourCompany, Marcos Antonio Vaquero Diaz;;;;;es_ES;Europe/Brussels;;;;;;True;;;contact;215 Vine St;;18503;Scranton;47;233;;;tony20030@yahoo.es;+1 555-555-5555;;False;;0;False;3;YourCompany;YourCompany;1;1;2021-03-17 00:04:30.221539;;tony20030@yahoo.es;0;;;;;;;+1 555-555-5555;;;no-message;;0;0;no-message;;no-message;;no-message;
64;Public user;;2020-12-19 12:46:52.262824;Public user;;;;;es_ES;;;;;;;False;;;contact;;;;;;;;;;;;False;;0;True;4;;;1;1;2020-12-19 12:46:52.262824;;;0;;;;;;;;;;no-message;;0;0;no-message;;no-message;;no-message;
65;Default User Template;;2020-12-19 12:46:52.262824;Default User Template;;;;;es_ES;;;;;;;False;;;contact;;;;;;;;;;;;False;;0;True;5;;;1;1;2021-03-17 00:04:30.221539;;;0;;;;;;;;;;no-message;;0;0;no-message;;no-message;;no-message;
66;Portal User Template;;2020-12-19 12:46:52.262824;Portal User Template;;;;;es_ES;;;;;;;False;;;contact;;;;;;;;;;;;False;;0;True;6;;;1;1;2020-12-19 12:46:52.262824;;;0;;;;;;;;;;no-message;;0;0;no-message;;no-message;;no-message;
67;Marcos Antonio Vaquero Diaz;1;2020-12-19 12:46:52.262824;YourCompany, Marcos Antonio Vaquero Diaz;;;;;es_ES;Europe/Brussels;;;;;;True;;;contact;3575  Buena Vista Avenue;;97401;Eugene;656;233;;;mark.brown23@example.com;(441)-695-2334;;False;;0;False;7;YourCompany;YourCompany;1;1;2021-03-17 00:04:30.221539;;mark.brown23@example.com;0;;;;;;;(441)-695-2334;;;no-message;;0;0;no-message;;no-message;;no-message;
68;Joel Willis;;2020-12-19 12:46:52.262824;YourCompany, Joel Willis;;;;;es_ES;;;;;;;True;;;contact;858 Lynn Street;;07002;Bayonne;33;233;;;joel.willis63@example.com;(683)-556-5104;;False;;0;True;8;YourCompany;YourCompany;1;1;2021-03-16 23:57:08.951143;;joel.willis63@example.com;0;;;;;;;(683)-556-5104;;;no-message;;0;0;no-message;;no-message;;no-message;
69;Wood Corner;;2020-12-19 12:46:52.262824;Wood Corner;;;;;es_ES;;;;http://www.wood-corner.com;;;True;;;contact;1839 Arbor Way;;95380;Turlock;13;233;;;wood.corner26@example.com;(623)-853-7197;;True;;0;True;9;Wood Corner;;1;1;2021-03-16 23:58:39.371714;;wood.corner26@example.com;0;;;;;;;(623)-853-7197;;;no-message;;0;0;no-message;;no-message;;no-message;
70;Deco Addict;;2020-12-19 12:46:52.262824;Deco Addict;;;;;es_ES;;;;http://www.deco-addict.com;;;True;;;contact;77 Santa Barbara Rd;;94523;Pleasant Hill;13;233;;;deco.addict82@example.com;(603)-996-3829;;True;;0;True;10;Deco Addict;;1;1;2021-03-16 23:58:39.371714;;deco.addict82@example.com;0;;;;;;;(603)-996-3829;;;no-message;;0;0;no-message;;no-message;;no-message;
